model year,make,model,electric vehicle type,vehicle_count
2024,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),452
2024,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),18
2024,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),686
2024,JEEP,WAGONEER S,Battery Electric Vehicle (BEV),50
2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),1788
2024,KIA,EV6,Battery Electric Vehicle (BEV),1340
2024,KIA,EV9,Battery Electric Vehicle (BEV),1151
2024,KIA,NIRO,Battery Electric Vehicle (BEV),490
2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),204
2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),66
2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),337
2024,LAMBORGHINI,REVUELTO,Plug-in Hybrid Electric Vehicle (PHEV),5
2024,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV),11
2024,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),11
2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),183
2024,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),120
2024,LEXUS,RZ,Battery Electric Vehicle (BEV),179
2024,LEXUS,TX,Plug-in Hybrid Electric Vehicle (PHEV),20
2024,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),87
2024,LUCID,AIR,Battery Electric Vehicle (BEV),71
2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),781
2024,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),155
2024,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV),59
2024,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),106
2024,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),46
2024,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),47
2024,MERCEDES-BENZ,ESPRINTER,Battery Electric Vehicle (BEV),27
2024,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),149
2024,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),21
2024,MINI,HARDTOP,Battery Electric Vehicle (BEV),254
2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),124
2024,MULLEN AUTOMOTIVE INC.,ONE,Battery Electric Vehicle (BEV),4
2024,NISSAN,ARIYA HATCHBACK,Battery Electric Vehicle (BEV),764
2024,NISSAN,LEAF,Battery Electric Vehicle (BEV),387
2024,POLESTAR,PS2,Battery Electric Vehicle (BEV),331
2024,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),53
2024,PORSCHE,MACAN,Battery Electric Vehicle (BEV),103
2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),105
2024,RAM,PROMASTER 3500,Battery Electric Vehicle (BEV),11
2024,RIVIAN,EDV,Battery Electric Vehicle (BEV),396
2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),907
2024,RIVIAN,R1T,Battery Electric Vehicle (BEV),258
2024,RIVIAN,RCV,Battery Electric Vehicle (BEV),1
2024,ROLLS-ROYCE,SPECTRE,Battery Electric Vehicle (BEV),4
2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),1194
2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),1295
2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),3905
2024,TESLA,MODEL S,Battery Electric Vehicle (BEV),266
2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),735
2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),9940
2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),944
2024,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),657
2024,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),1530
2024,VINFAST,VF 8,Battery Electric Vehicle (BEV),2
2024,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),717
2024,VOLVO,C40,Battery Electric Vehicle (BEV),39
2024,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),42
2024,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV),10
2024,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),60
2024,VOLVO,XC40,Battery Electric Vehicle (BEV),161
2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),368
2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),396
2025,ALFA ROMEO,TONALE,Plug-in Hybrid Electric Vehicle (PHEV),2
2025,AUDI,A6,Battery Electric Vehicle (BEV),53
2025,AUDI,Q4,Battery Electric Vehicle (BEV),117
2025,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),139
2025,AUDI,Q6,Battery Electric Vehicle (BEV),417
2025,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV),8
2025,AUDI,S E-TRON GT,Battery Electric Vehicle (BEV),11
2025,AUDI,S6,Battery Electric Vehicle (BEV),19
2025,AUDI,SQ6,Battery Electric Vehicle (BEV),60
2025,BENTLEY,CONTINENTAL,Plug-in Hybrid Electric Vehicle (PHEV),2
2025,BENTLEY,FLYING SPUR,Plug-in Hybrid Electric Vehicle (PHEV),2
2025,BMW,550E,Plug-in Hybrid Electric Vehicle (PHEV),11
2025,BMW,750E,Plug-in Hybrid Electric Vehicle (PHEV),7
2025,BMW,I4,Battery Electric Vehicle (BEV),702
2025,BMW,I5,Battery Electric Vehicle (BEV),116
2025,BMW,I7,Battery Electric Vehicle (BEV),16
2025,BMW,IX,Battery Electric Vehicle (BEV),428
2025,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),28
2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),661
2025,BMW,XM,Plug-in Hybrid Electric Vehicle (PHEV),12
2025,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),496
2025,CADILLAC,OPTIQ,Battery Electric Vehicle (BEV),425
2025,CHEVROLET,BLAZER,Battery Electric Vehicle (BEV),391
2025,CHEVROLET,BRIGHTDROP,Battery Electric Vehicle (BEV),23
2025,CHEVROLET,EQUINOX,Battery Electric Vehicle (BEV),1090
2025,CHEVROLET,SILVERADO,Battery Electric Vehicle (BEV),112
2025,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),103
2025,DODGE,CHARGER,Battery Electric Vehicle (BEV),83
2025,FIAT,500E,Battery Electric Vehicle (BEV),5
2025,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),229
2025,FORD,F-150,Battery Electric Vehicle (BEV),833
2025,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),1206
2025,FORD,TRANSIT,Battery Electric Vehicle (BEV),87
2025,GENESIS,GV60,Battery Electric Vehicle (BEV),48
2025,GENESIS,GV70,Battery Electric Vehicle (BEV),40
2025,GMC,HUMMER EV PICKUP,Battery Electric Vehicle (BEV),43
2025,GMC,HUMMER EV SUV,Battery Electric Vehicle (BEV),109
2025,GMC,SIERRA,Battery Electric Vehicle (BEV),79
2025,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),861
2025,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),1479
2025,HYUNDAI,IONIQ 5 N,Battery Electric Vehicle (BEV),88
2025,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV),373
2025,HYUNDAI,KONA,Battery Electric Vehicle (BEV),239
2025,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),102
2025,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),93
2025,JEEP,WAGONEER S,Battery Electric Vehicle (BEV),158
2025,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),804
2025,KIA,EV6,Battery Electric Vehicle (BEV),467
2025,KIA,EV9,Battery Electric Vehicle (BEV),278
2025,KIA,NIRO,Battery Electric Vehicle (BEV),535
2025,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),180
2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),332
2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),842
2025,LAMBORGHINI,REVUELTO,Plug-in Hybrid Electric Vehicle (PHEV),5
2025,LAMBORGHINI,URUS,Plug-in Hybrid Electric Vehicle (PHEV),14
2025,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV),65
2025,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),88
2025,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),222
2025,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),127
2025,LEXUS,RZ,Battery Electric Vehicle (BEV),109
2025,LEXUS,TX,Plug-in Hybrid Electric Vehicle (PHEV),20
2025,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),55
2025,LUCID,AIR,Battery Electric Vehicle (BEV),222
2025,LUCID,GRAVITY,Battery Electric Vehicle (BEV),1
2025,MASERATI,GRANCABRIO,Battery Electric Vehicle (BEV),1
2025,MAZDA,CX-70,Plug-in Hybrid Electric Vehicle (PHEV),157
2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),534
2025,MERCEDES-BENZ,AMG GT,Plug-in Hybrid Electric Vehicle (PHEV),4
2025,MERCEDES-BENZ,C-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),3
2025,MERCEDES-BENZ,E-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),36
2025,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV),61
2025,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV),12
2025,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),74
2025,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),11
2025,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),30
2025,MERCEDES-BENZ,ESPRINTER,Battery Electric Vehicle (BEV),1
2025,MERCEDES-BENZ,G-CLASS,Battery Electric Vehicle (BEV),39
2025,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),342
2025,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),266
2025,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),18
2025,MERCEDES-BENZ,SL-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),3
2025,MINI,COUNTRYMAN,Battery Electric Vehicle (BEV),174
2025,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),241
2025,NISSAN,ARIYA MPV,Battery Electric Vehicle (BEV),756
2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),767
2025,POLESTAR,POLESTAR 3,Battery Electric Vehicle (BEV),254
2025,POLESTAR,PS2,Battery Electric Vehicle (BEV),4
2025,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),67
2025,PORSCHE,MACAN,Battery Electric Vehicle (BEV),222
2025,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),26
2025,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),138
2025,RAM,PROMASTER 3500,Battery Electric Vehicle (BEV),4
2025,RIVIAN,EDV,Battery Electric Vehicle (BEV),3
2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),1785
2025,RIVIAN,R1T,Battery Electric Vehicle (BEV),498
2025,ROLLS-ROYCE,SPECTRE,Battery Electric Vehicle (BEV),2
2025,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),472
2025,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),497
2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),4439
2025,TESLA,MODEL S,Battery Electric Vehicle (BEV),81
2025,TESLA,MODEL X,Battery Electric Vehicle (BEV),272
2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),4359
2025,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),448
2025,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),249
2025,TOYOTA,RAV4 PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),1080
2025,VOLKSWAGEN,ID. BUZZ,Battery Electric Vehicle (BEV),392
2025,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),615
2025,VOLVO,EX30,Battery Electric Vehicle (BEV),345
2025,VOLVO,EX40,Battery Electric Vehicle (BEV),51
2025,VOLVO,EX90,Battery Electric Vehicle (BEV),200
2025,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),17
2025,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV),12
2025,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),413
2025,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),342
2026,AUDI,Q4,Battery Electric Vehicle (BEV),4
2026,AUDI,RS E-TRON GT,Battery Electric Vehicle (BEV),2
2026,BMW,550E,Plug-in Hybrid Electric Vehicle (PHEV),31
2026,BMW,I5,Battery Electric Vehicle (BEV),97
2026,BMW,I7,Battery Electric Vehicle (BEV),2
2026,BMW,IX,Battery Electric Vehicle (BEV),229
2026,BMW,M5,Plug-in Hybrid Electric Vehicle (PHEV),31
2026,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),351
2026,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),104
2026,CADILLAC,OPTIQ,Battery Electric Vehicle (BEV),51
2026,CADILLAC,VISTIQ,Battery Electric Vehicle (BEV),237
2026,CHEVROLET,BLAZER,Battery Electric Vehicle (BEV),16
2026,CHEVROLET,EQUINOX,Battery Electric Vehicle (BEV),129
2026,CHEVROLET,SILVERADO,Battery Electric Vehicle (BEV),25
2026,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),9
2026,DODGE,CHARGER,Battery Electric Vehicle (BEV),2
2026,FORD,TRANSIT,Battery Electric Vehicle (BEV),4
2026,GENESIS,GV60,Battery Electric Vehicle (BEV),7
2026,GENESIS,GV70,Battery Electric Vehicle (BEV),29
2026,GMC,SIERRA,Battery Electric Vehicle (BEV),54
2026,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),10
2026,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),159
2026,HYUNDAI,IONIQ 9,Battery Electric Vehicle (BEV),223
2026,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),9
2026,KIA,EV9,Battery Electric Vehicle (BEV),695
2026,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),33
2026,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),46
2026,LAMBORGHINI,REVUELTO,Plug-in Hybrid Electric Vehicle (PHEV),1
2026,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),78
2026,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV),45
2026,LEXUS,RZ,Battery Electric Vehicle (BEV),54
2026,LEXUS,TX,Plug-in Hybrid Electric Vehicle (PHEV),10
2026,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),5
2026,LUCID,AIR,Battery Electric Vehicle (BEV),39
2026,LUCID,GRAVITY,Battery Electric Vehicle (BEV),50
2026,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),10
2026,MERCEDES-BENZ,AMG GT,Plug-in Hybrid Electric Vehicle (PHEV),2
2026,MERCEDES-BENZ,E-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),11
2026,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV),4
2026,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),6
2026,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),1
2026,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),62
2026,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),27
2026,NISSAN,LEAF,Battery Electric Vehicle (BEV),35
2026,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),16
2026,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),6
2026,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),10
2026,RIVIAN,R1S,Battery Electric Vehicle (BEV),514
2026,RIVIAN,R1T,Battery Electric Vehicle (BEV),136
2026,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),73
2026,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),51
2026,TESLA,MODEL 3,Battery Electric Vehicle (BEV),442
2026,TESLA,MODEL S,Battery Electric Vehicle (BEV),100
2026,TESLA,MODEL X,Battery Electric Vehicle (BEV),206
2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10480
2026,TOYOTA,BZ,Battery Electric Vehicle (BEV),165
2026,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),154
2026,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),3
2026,VOLVO,EX30,Battery Electric Vehicle (BEV),7
2026,VOLVO,EX30 CC,Battery Electric Vehicle (BEV),1
2026,VOLVO,EX40,Battery Electric Vehicle (BEV),5
2026,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),70
2026,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),41
